Site,Survey date,Site Number,Detector number,FOLDER,IN FILE,CHANNEL,OFFSET,DURATION,OUT FILE,TIME,HOUR,TIME-12,HOUR-12,AUTO ID,PULSES,MATCHING,MARGIN,ALTERNATES,N,Fc,Sc,Dur,Fmax,Fmin,Fmean,TBC,Fk,Tk,S1,Tc,Qual,FILES,MANUAL ID,TOTAL GHS
Gunnislake,08/08/2016,12,S2,,20160811_231105.wac,0,2675.668,2.031,0_20160811_235540_668,23:55:40,23,11:55:40,11,RHFE,2,2,0.746466,,2,80.408,-5.32,4.065,80.816,78.824,79.802,346.909,79.231,0.051,361.053,3.964,0.6,1,RHFE,
Gunnislake,08/08/2016,12,S2,,20160813_040905.wac,0,1532.331,3.168,0_20160813_043437_331,04:34:37,4,16:34:37,16,RHFE,11,11,0.527855,,11,81.413,0.59,23.945,82.815,70.737,80.916,72.789,81.506,1.176,-178.733,21.87,4.92,1,RHFE,
Gunnislake,08/08/2016,12,S2,,20160813_210703.wac,0,3499.996,3.403,0_20160813_220522_996,22:05:22,22,10:05:22,10,RHFE,11,11,0.593543,,11,81.737,0.46,33.94,83.047,74.098,81.499,168.891,81.432,1.708,192.473,32.24,7.74,1,RHFE,
Gunnislake,08/08/2016,12,S2,,20160810_041505.wac,0,2495.083,3.016,0_20160810_045640_083,04:56:40,4,16:56:40,16,RHFE,11,6,0.069772,PINA,11,63.127,2.48,24.055,64.485,59.869,63.348,137.549,63.641,1.457,128.842,22.381,3.67,1,RHFE,
Gunnislake,08/08/2016,12,S2,,20160814_020706.wac,0,1045.339,2.36,0_20160814_022431_339,02:24:31,2,14:24:31,14,RHFE,2,2,0.383213,,2,82.483,0.04,25.338,83.777,77.618,82.647,303.61,82.5,0.242,-924.118,25.338,0.54,1,RHFE,
Gunnislake,08/08/2016,18,T1,,20000104_035105.wac,0,1431.855,3.044,0_20000104_041456_855,04:14:56,4,16:14:56,16,RHFE,9,9,0.736711,,9,81.466,0.61,17.366,82.774,77.437,81.495,135.402,81.387,0.765,-49.822,17.038,3.73,1,RHFE,
Gunnislake,08/08/2016,18,T1,,20000102_034905.wac,0,2667.661,2.837,0_20000102_043332_661,04:33:32,4,16:33:32,16,RHFE,6,6,0.479693,,6,81.508,-0.39,22.498,82.932,78.945,81.558,213.645,81.236,2.231,-102.958,22.226,3.44,1,RHFE,
Gunnislake,08/08/2016,18,T1,,20000104_045105.wac,0,2657.392,2.507,0_20000104_053522_392,05:35:22,5,17:35:22,17,RHFE,4,4,0.702601,,4,82.058,-0.76,18.632,83.139,78.881,82.169,122.45,81.862,0.073,-450.488,18.62,0.77,1,RHFE,
Gunnislake,08/08/2016,18,T1,,20000104_035105.wac,0,2838.801,2.497,0_20000104_043823_801,04:38:23,4,16:38:23,16,RHFE,2,2,0.722913,,2,82.058,8.82,2.238,84.22,80.424,82.237,528.392,82.908,0.488,-309.868,2.238,0.9,1,RHFE,
Gunnislake,08/08/2016,18,T1,,20000104_035105.wac,0,1427.595,3.104,0_20000104_041452_595,04:14:52,4,16:14:52,16,RHFE,4,4,0.706693,,4,82.492,2.09,14.364,84.229,81.437,82.745,355.809,83.351,0.06,-244.047,13.462,1.91,1,RHFE,
Gunnislake,08/08/2016,3,U1,,20160810_211304.wac,0,138.495,2.504,0_20160810_211522_495,21:15:22,21,09:15:22,9,RHFE,10,10,0.599323,,10,81.898,-0.79,29.193,82.667,75.85,81.824,114.126,81.156,0.72,-126.959,29.153,3.26,1,RHFE,
Gunnislake,08/08/2016,3,U1,,20160811_211103.wac,0,973.749,2.749,0_20160811_212716_749,21:27:16,21,09:27:16,9,RHFE,13,13,0.623208,,13,81.274,1.29,31.207,82.305,76.052,81.211,125.368,81.007,0.735,-257.706,30.501,7.87,1,RHFE,
Gunnislake,08/08/2016,3,U1,,20160808_211603.wac,0,272.159,5.84,0_20160808_212035_159,21:20:35,21,09:20:35,9,RHFE,53,48,0.396015,PINA;PIPI;BABA,54,78.512,-0.44,27.977,79.607,71.201,78.49,88.726,78.4,1.653,-21.026,27.385,29.54,1,RHFE RHFE,
Gunnislake,08/08/2016,32,U2,,20160811_211104.wac,0,3463.856,2.343,0_20160811_220847_856,22:08:47,22,10:08:47,10,RHFE,6,6,0.609525,,6,81.508,0.74,17.726,82.625,79.744,81.527,158.985,81.372,0.156,-58.875,17.651,3.72,1,RHFE,
Gunnislake,08/08/2016,4,V1,,20160811_221105.wac,0,2204.261,6.537,0_20160811_224749_261,22:47:49,22,10:47:49,10,PIPI,28,25,0.418254,PIPY,30,47.061,30.62,4.689,60.654,46.521,49.413,179.296,48.611,1.995,323.536,4.001,8.49,1,RHFE PIPI,
Gunnislake,08/08/2016,4,V1,,20160811_221105.wac,0,2607.511,2.088,0_20160811_225432_511,22:54:32,22,10:54:32,10,RHFE,7,7,0.584055,,8,81.458,-0.39,20.404,82.399,74.372,81.362,112.115,81.131,0.559,-520.456,20.077,2.1,1,RHFE,
Gunnislake,08/08/2016,4,V1,,20160813_210704.wac,0,888.873,2.025,0_20160813_212152_873,21:21:52,21,09:21:52,9,RHFE,6,6,0.761575,,6,79.754,11.58,9.113,81.65,78.834,80.408,115.386,80.686,0.407,-106.632,8.972,5.3,1,RHFE,
Gunnislake,08/08/2016,4,V1,,20160808_221604.wac,0,1055.012,2.287,0_20160808_223339_012,22:33:39,22,10:33:39,10,RHFE,8,8,0.602876,,8,80.923,-0.49,27.408,81.756,74.858,80.705,131.369,80.518,0.65,94.45,27.041,2.57,1,RHFE,
Gunnislake,08/08/2016,4,V1,,20160813_220705.wac,0,1214.919,2.48,0_20160813_222719_919,22:27:19,22,10:27:19,10,RHFE,10,10,0.625425,,10,80.915,0.06,24.471,82.405,75.905,81.113,119.179,80.993,0.823,-326.782,24.417,4.7,1,RHFE,
Gunnislake,08/08/2016,4,V1,,20160811_221105.wac,0,2625.515,2.084,0_20160811_225450_515,22:54:50,22,10:54:50,10,RHFE,7,7,0.53153,,7,80.7,0.16,26.4,82.017,72.59,80.693,108.007,80.942,0.857,-150.725,25.189,1.67,1,RHFE,
Gunnislake,08/08/2016,4,V1,,20160811_211104.wac,0,3567.617,2.081,0_20160811_221031_617,22:10:31,22,10:10:31,10,RHFE,7,7,0.678186,,7,80.821,-0.86,25.278,82.255,77.423,81.056,137.359,80.723,0.692,230.751,24.167,3.15,1,RHFE,
Gunnislake,08/08/2016,4,V1,,20160809_211503.wac,0,3056.708,2.091,0_20160809_220559_708,22:05:59,22,10:05:59,10,RHFE,6,6,0.480552,,6,82.205,0.04,10.983,83.345,79.62,82.084,162.847,81.797,0.13,-236.293,10.909,2.83,1,RHFE,
Gunnislake,08/08/2016,4,V1,,20160814_010705.wac,0,3092.135,2.064,0_20160814_015837_135,01:58:37,1,13:58:37,13,RHFE,6,6,0.779739,,6,82.347,-0.74,19.225,83.056,78.404,82.101,110.365,81.644,0.603,-134.597,18.949,0.98,1,RHFE,
Gunnislake,08/08/2016,4,V1,,20160813_220705.wac,0,1171.545,2.053,0_20160813_222636_545,22:26:36,22,10:26:36,10,RHFE,8,8,0.626231,,8,80.518,-0.24,31.159,81.756,74.435,80.394,105.409,80.118,0.787,-62.559,30.811,3.89,1,RHFE,
Gunnislake,08/08/2016,4,V1,,20160809_221506.wac,0,2110.28,2.019,0_20160809_225016_280,22:50:16,22,10:50:16,10,RHFE,8,8,0.514087,,8,81.335,-0.89,32.398,82.62,76.455,81.485,140.374,81.344,1.092,-10.533,32.052,8.65,1,RHFE,
Gunnislake,08/08/2016,4,V1,,20160809_211503.wac,0,3053.22,2.179,0_20160809_220556_220,22:05:56,22,10:05:56,10,RHFE,8,8,0.724936,,8,81.65,-0.34,24.482,82.704,77.266,81.629,129.626,81.335,0.728,38.547,24.408,2.77,1,RHFE,
Gunnislake,08/08/2016,4,V1,,20160810_211303.wac,0,251.227,2.072,0_20160810_211714_227,21:17:14,21,09:17:14,9,RHFE,7,6,0.327803,MYBR,6,80.969,0.23,19.275,82.205,77.96,81.039,151.232,81.258,1.898,-179.362,19.012,5.54,1,RHFE,
Gunnislake,08/08/2016,4,V1,,20160812_220905.wac,0,29.988,2.411,0_20160812_220934_988,22:09:34,22,10:09:34,10,RHFE,8,8,0.721616,,8,81.339,1.05,17.802,82.612,76.595,81.327,124.568,81.356,0.586,14.911,17.397,3.42,1,RHFE,
Gunnislake,08/08/2016,4,V1,,20160809_231505.wac,0,1384.079,2.32,0_20160809_233809_079,23:38:09,23,11:38:09,11,RHFE,7,7,0.575246,,7,80.476,0.06,29.764,81.545,73.185,80.225,135.318,80.378,1.963,-196.942,28.794,1.63,1,RHFE,
Gunnislake,08/08/2016,11,V2,,20160810_041504.wac,0,3549.923,3.376,0_20160810_051413_923,05:14:13,5,17:14:13,17,NoID,13,0,0,PIPI,13,81.332,1.47,16.42,82.581,78.603,81.405,119.399,81.544,0.442,-207.19,16.412,7.98,1,RHFE,
Gunnislake,08/08/2016,11,V2,,20160811_041305.wac,0,2550.631,2.268,0_20160811_045535_631,04:55:35,4,16:55:35,16,NoID,8,0,0,PIPI;PIPI;EPSE,8,80.633,5.49,14.119,82.603,78.82,80.996,110.996,81.658,0.706,10.609,13.279,8,1,RHFE,
Gunnislake,08/08/2016,11,V2,,20160811_041305.wac,0,1004.057,2.041,0_20160811_042949_057,04:29:49,4,16:29:49,16,Noise,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,RHFE,
Gunnislake,08/08/2016,11,V2,,20160813_210704.wac,0,2201.339,4.86,0_20160813_214345_339,21:43:45,21,09:43:45,9,RHFE,11,11,0.487886,,12,81.721,-2.38,16.975,83.077,77.632,81.724,117.203,81.871,0.262,-357.622,16.859,8.92,1,RHFE,
Gunnislake,08/08/2016,11,V2,,20160809_051604.wac,0,125.188,3.011,0_20160809_051809_188,05:18:09,5,17:18:09,17,RHFE,11,11,0.724416,,12,81.584,-1.26,18.287,82.571,78.511,81.447,105.184,80.977,1.99,257.507,18.047,5.41,1,RHFE,
Gunnislake,08/08/2016,11,V2,,20160808_231605.wac,0,963.427,3.272,0_20160808_233208_427,23:32:08,23,11:32:08,11,RHFE,16,16,0.620321,,16,82.022,0.03,16.762,83.52,79.77,82.1,95.516,82.037,0.092,-227.073,16.246,16.94,1,RHFE,
Gunnislake,08/08/2016,11,V2,,20160810_041504.wac,0,2554.952,3.147,0_20160810_045738_952,04:57:38,4,16:57:38,16,RHFE,11,11,0.587213,,11,81.497,-1.17,18.806,82.879,78.3,81.579,123.85,81.574,0.368,-513.477,18.629,3.19,1,RHFE,
Gunnislake,08/08/2016,11,V2,,20160811_051305.wac,0,71.685,2.913,0_20160811_051416_685,05:14:16,5,17:14:16,17,RHFE,11,11,0.590903,,11,80.606,3.52,12.676,82.028,77.617,80.715,115.155,80.992,0.434,-135.14,11.843,6.89,1,RHFE,
Gunnislake,08/08/2016,11,V2,,20160814_020706.wac,0,2.844,2.655,0_20160814_020708_844,02:07:08,2,14:07:08,14,RHFE,11,11,0.717495,,12,80.751,2.47,12.795,82.421,79.681,81.018,115.875,81.31,1.166,72.072,11.499,11.81,1,RHFE,
Gunnislake,08/08/2016,11,V2,,20160809_051604.wac,0,526.452,2.847,0_20160809_052450_452,05:24:50,5,17:24:50,17,RHFE,10,10,0.606128,,10,80.911,-0.72,19.929,81.918,76.412,80.767,106.562,80.597,0.757,-220.918,19.818,7.56,1,RHFE,
Gunnislake,08/08/2016,11,V2,,20160813_220709.wac,0,1691.667,3.132,0_20160813_223520_667,22:35:20,22,10:35:20,10,RHFE,16,16,0.745331,,16,81.547,5.87,8.904,83.187,80.616,81.866,109.954,81.96,0.3,69.005,8.579,8.54,1,RHFE,
Gunnislake,08/08/2016,11,V2,,20160812_051106.wac,0,3.459,2.84,0_20160812_051109_459,05:11:09,5,17:11:09,17,RHFE,10,10,0.69964,,11,79.872,0.41,20.072,81.209,76.615,79.83,132.061,80.017,2.311,-52.815,19.867,9.81,1,RHFE,
Gunnislake,08/08/2016,11,V2,,20160813_220709.wac,0,1562.548,2.751,0_20160813_223311_548,22:33:11,22,10:33:11,10,RHFE,9,9,0.654586,,9,82.116,0.19,10.114,83.263,79.894,81.969,158.453,82.215,0.173,-13.225,10.098,5.8,1,RHFE,
Gunnislake,08/08/2016,11,V2,,20160809_041606.wac,0,9.131,2.868,0_20160809_041615_131,04:16:15,4,16:16:15,16,RHFE,8,8,0.650744,,8,81.65,1.48,9.928,82.705,78.984,81.656,165.55,81.867,0.098,-401.939,9.903,3.97,1,RHFE,
Gunnislake,08/08/2016,11,V2,,20160813_040907.wac,0,3047.853,2.845,0_20160813_045954_853,04:59:54,4,16:59:54,16,RHFE,8,8,0.75467,,8,81.458,0.23,17.377,82.828,80.212,81.63,108.719,81.756,0.11,-85.951,16.827,1.84,1,RHFE,
Gunnislake,08/08/2016,11,V2,,20160811_041305.wac,0,2809.136,2.963,0_20160811_045954_136,04:59:54,4,16:59:54,16,RHFE,12,12,0.685374,,12,81.307,0.32,15.692,82.713,79.303,81.431,117.457,81.386,0.613,-63.279,15.277,5.63,1,RHFE,
Gunnislake,08/08/2016,11,V2,,20160813_220709.wac,0,1696.364,2.535,0_20160813_223525_364,22:35:25,22,10:35:25,10,RHFE,8,8,0.768586,,9,81.55,3.44,9.354,82.877,80.544,81.769,126.861,81.75,3.815,-69.694,9.31,7.93,1,RHFE,
Gunnislake,08/08/2016,11,V2,,20160813_220709.wac,0,1682.691,3.308,0_20160813_223511_691,22:35:11,22,10:35:11,10,RHFE,21,21,0.662587,,21,82.132,0.51,9.645,83.613,80.159,82.165,76.09,82.375,0.655,-283.426,9.499,6.86,1,RHFE,
Gunnislake,08/08/2016,11,V2,,20160814_000708.wac,0,941.839,3.66,0_20160814_002249_839,00:22:49,0,12:22:49,12,RHFE,2,2,0.784511,,2,81.224,0.15,3.402,82.483,80.408,81.158,107.278,81.258,0.073,-219.708,3.402,0.7,1,RHFE,
Gunnislake,08/08/2016,11,V2,,20160810_051506.wac,0,118.431,3.168,0_20160810_051704_431,05:17:04,5,17:17:04,17,RHFE,7,7,0.707647,,7,80.933,0.65,18.541,82.878,78.871,81.262,200.333,81.545,0.203,-292.641,17.052,4.13,1,RHFE,
Gunnislake,08/08/2016,11,V2,,20160810_041504.wac,0,3359.18,2.619,0_20160810_051103_180,05:11:03,5,17:11:03,17,RHFE,7,7,0.669231,,7,81.404,0.49,22.417,82.372,80.471,81.516,191.09,81.526,0.077,145.753,22.375,5.74,1,RHFE,
Gunnislake,08/08/2016,11,V2,,20160812_051106.wac,0,12.34,3.559,0_20160812_051118_340,05:11:18,5,17:11:18,17,RHFE,22,22,0.690127,,22,80.375,-0.34,20.27,81.503,74.596,80.062,87.364,80.058,1.06,-119.491,19.436,8.59,1,RHFE RHFE,
Gunnislake,08/08/2016,11,V2,,20160810_031506.wac,0,3033.979,2.92,0_20160810_040539_979,04:05:39,4,16:05:39,16,RHFE,13,13,0.615986,,13,81.85,0.66,13.584,83.224,79.359,81.888,121.648,81.973,0.396,-429.273,13.486,5.8,1,RHFE,
Gunnislake,08/08/2016,11,V2,,20160813_210704.wac,0,2378.124,2.475,0_20160813_214642_124,21:46:42,21,09:46:42,9,RHFE,7,7,0.764095,,7,80.709,-0.02,11.538,82.25,79.556,80.903,121.039,81.073,0.549,60.614,11.538,7.4,1,RHFE,
Gunnislake,08/08/2016,11,V2,,20160809_011605.wac,0,2110.393,2.905,0_20160809_015115_393,01:51:15,1,13:51:15,13,RHFE,13,12,0.539254,MYBE,13,80.854,58.51,15.399,82.895,80.035,81.635,121.803,81.779,1.224,96.9,15.247,9.34,1,RHFE,
Gunnislake,08/08/2016,11,V2,,20160812_051106.wac,0,23.909,4.589,0_20160812_051129_909,05:11:29,5,17:11:29,17,RHFE,23,23,0.649614,,23,79.671,2.52,12.205,81.193,76.401,80.01,187.31,80.261,0.701,-79.667,11.618,19.21,1,RHFE,
Gunnislake,08/08/2016,11,V2,,20160812_051106.wac,0,33.72,3.079,0_20160812_051139_720,05:11:39,5,17:11:39,17,RHFE,16,16,0.620802,,17,80.395,0.02,25.016,81.458,75.897,80.141,116.31,80.2,1.68,-18.326,23.513,11.93,1,RHFE,
Gunnislake,08/08/2016,11,V2,,20160809_011605.wac,0,2867.116,2.583,0_20160809_020352_116,02:03:52,2,14:03:52,14,RHFE,6,6,0.416374,,6,81.927,0.47,9.479,83.215,75.888,81.975,191.42,82.075,0.14,-1061.726,9.389,1.64,1,RHFE,
Gunnislake,08/08/2016,11,V2,,20160809_041606.wac,0,556.551,2.548,0_20160809_042522_551,04:25:22,4,16:25:22,16,RHFE,5,5,0.642771,,5,80.836,1.21,20.697,82.32,77.036,81.099,206.916,81.313,0.069,-348.849,20.517,8.68,1,RHFE,
Gunnislake,08/08/2016,11,V2,,20160813_020907.wac,0,1593.385,3.313,0_20160813_023540_385,02:35:40,2,14:35:40,14,RHFE,14,14,0.648953,,14,82.792,1.73,15.089,84.159,80.785,82.837,79.126,83.161,0.368,147.802,15.051,6.05,1,RHFE,
Gunnislake,08/08/2016,11,V2,,20160808_211603.wac,0,480.145,2.553,0_20160808_212403_145,21:24:03,21,09:24:03,9,RHFE,5,5,0.763982,,5,80.509,1.49,12.69,82.156,79.385,80.973,171.711,81.163,0.118,234.933,11.474,3.02,1,RHFE,
Gunnislake,08/08/2016,11,V2,,20160814_000708.wac,0,264.867,3.432,0_20160814_001132_867,00:11:32,0,12:11:32,12,RHFE,4,4,0.506826,,4,80.62,2.04,21.843,82.27,77.224,80.784,140.554,81.429,1.579,-454.586,21.831,5.1,1,RHFE,
Gunnislake,08/08/2016,11,V2,,20160813_020907.wac,0,2072.309,3.089,0_20160813_024339_309,02:43:39,2,14:43:39,14,RHFE,14,14,0.639012,,14,82.25,-1.7,9.782,83.235,79.536,82.032,91.771,82.073,0.916,-216.43,9.758,6.37,1,RHFE,
Gunnislake,08/08/2016,11,V2,,20160809_221505.wac,0,763.199,2.5,0_20160809_222748_199,22:27:48,22,10:27:48,10,RHFE,4,4,0.482642,,4,81.029,-1.64,22.468,82.092,76.537,81.16,124.207,80.816,0.062,-290.568,21.794,1.82,1,RHFE,
Gunnislake,08/08/2016,11,V2,,20160809_011605.wac,0,1710.596,2.203,0_20160809_014435_596,01:44:35,1,13:44:35,13,RHFE,4,4,0.802112,,4,81.446,-2.14,10.34,82.288,78.341,81.03,266.485,81.02,1.065,153.322,10.327,1.99,1,RHFE,
Gunnislake,08/08/2016,11,V2,,20160811_051305.wac,0,49.052,3.247,0_20160811_051354_052,05:13:54,5,17:13:54,17,RHFE,15,15,0.539991,,16,81.345,-5.76,9.726,82.76,78.803,81.462,81.77,81.245,1.767,-523.756,9.624,8.61,1,RHFE,
Gunnislake,08/08/2016,11,V2,,20160810_041504.wac,0,2722.665,2.933,0_20160810_050026_665,05:00:26,5,17:00:26,17,RHFE,15,14,0.582625,MYBE,15,80.943,47.97,12.924,82.719,78.964,81.554,78.039,81.766,0.345,149.723,12.779,5.61,1,RHFE,
Gunnislake,08/08/2016,11,V2,,20160812_021108.wac,0,2716.379,4.12,0_20160812_025624_379,02:56:24,2,14:56:24,14,RHFE,3,3,0.512163,,3,81.394,-2.36,5.317,82.483,77.975,81.338,87.655,81.361,0.135,394.526,4.972,0.9,1,RHFE,
Gunnislake,08/08/2016,11,V2,,20160812_051106.wac,0,16.563,6.236,0_20160812_051122_563,05:11:22,5,17:11:22,17,RHFE,36,36,0.650338,,36,79.998,0.63,15.243,81.361,77.157,80.125,134.373,80.108,0.402,-402.93,14.648,28.68,1,RHFE RHFE,
Gunnislake,08/08/2016,11,V2,,20160811_021306.wac,0,1900.869,2.729,0_20160811_024446_869,02:44:46,2,14:44:46,14,RHFE,2,2,0.787493,,2,81.633,2.85,8.671,82.908,80.816,81.716,85.978,82.483,0.048,-232.801,8.647,0.58,1,RHFE,
Gunnislake,08/08/2016,11,V2,,20160810_211304.wac,0,626.38,2.619,0_20160810_212330_380,21:23:30,21,09:23:30,9,RHFE,8,8,0.778209,,9,81.186,0.38,16.435,82.498,80.105,81.42,165.872,81.281,3.232,108.073,16.074,2.87,1,RHFE,
Gunnislake,08/08/2016,38,W1,,20160811_211104.wac,0,878.633,3.165,0_20160811_212542_633,21:25:42,21,09:25:42,9,PIPY,4,4,0.569506,,4,54.735,24.15,3.694,67.083,54.351,57.143,212.681,55.868,2.051,409.632,3.315,1.31,1,RHFE PIPY,
Gunnislake,08/08/2016,38,W1,,20160809_211503.wac,0,225.099,4.2,0_20160809_211848_099,21:18:48,21,09:18:48,9,PIPY,17,17,0.73177,,17,54.14,26.55,3.155,61.219,53.94,55.734,129.798,56.196,0.96,210.608,2.798,3.75,1,RHFE PIPY,
Gunnislake,08/08/2016,38,W1,,20160811_211104.wac,0,258.173,5.825,0_20160811_211522_173,21:15:22,21,09:15:22,9,PIPY,22,12,0.078578,RHFE,24,67.697,15.77,19.472,72.711,62.727,68.396,165.148,68.556,1.924,171.417,17.702,46.04,1,RHFE PIPY,
Gunnislake,08/08/2016,38,W1,,20160809_211503.wac,0,22.94,6.859,0_20160809_211525_940,21:15:25,21,09:15:25,9,RHFE,27,15,0.07583,PIPY;BABA,27,69.766,9.82,13.061,74.247,67.405,70.449,194.039,70.302,0.746,112.546,12.152,4.31,1,RHFE PIPY,
Gunnislake,08/08/2016,38,W1,,20160810_201300.wac,0,3530.969,3.029,0_20160810_211150_969,21:11:50,21,09:11:50,9,RHFE,17,17,0.657942,,17,80.886,-0.42,20.698,81.905,76.076,80.702,95.519,80.563,1.65,87.585,19.303,3.76,1,RHFE,
Gunnislake,08/08/2016,38,W1,,20160808_211603.wac,0,103.42,2.979,0_20160808_211746_420,21:17:46,21,09:17:46,9,RHFE,14,14,0.690722,,15,80.562,-2.59,18.939,81.762,77.122,80.516,93.29,80.304,0.339,-106.471,17.107,7.58,1,RHFE,
Gunnislake,08/08/2016,38,W1,,20160810_201300.wac,0,3342.549,3.049,0_20160810_210842_549,21:08:42,21,09:08:42,9,RHFE,12,9,0.197298,PINA,14,69.216,-29.81,26.549,70.16,65.725,69.09,111.734,69.106,3.378,-29.4,24.452,3.34,1,RHFE,
Gunnislake,08/08/2016,38,W1,,20160811_211104.wac,0,316.147,2.952,0_20160811_211620_147,21:16:20,21,09:16:20,9,RHFE,11,11,0.576296,,12,81.105,-0.81,22.423,82.3,73.558,80.885,110.02,80.773,3.374,-408.844,21.975,2.74,1,RHFE,
Gunnislake,08/08/2016,21,W2,,20160811_011305.wac,0,2989.547,3.352,0_20160811_020254_547,02:02:54,2,14:02:54,14,RHFE,17,17,0.689647,,17,82.141,-2.69,22.48,82.908,74.98,81.705,103.329,81.364,1.057,-62.421,22.068,9.5,1,RHFE,
Gunnislake,08/08/2016,21,W2,,20160811_221104.wac,0,3062.864,3.035,0_20160811_230206_864,23:02:06,23,11:02:06,11,RHFE,9,9,0.700421,,12,79.754,-7.32,20.73,80.626,71.75,78.696,134.837,78.427,2.549,-59.954,20.584,7.13,1,RHFE,
Gunnislake,08/08/2016,21,W2,,20160808_231605.wac,0,3207.007,2.792,0_20160809_000932_007,00:09:32,0,12:09:32,12,RHFE,6,6,0.708682,,6,80.424,0.12,20.744,81.53,78.723,80.595,164.624,80.441,0.288,236.394,20.711,2.09,1,RHFE,
Gunnislake,08/08/2016,21,W2,,20160809_211503.wac,0,429.784,2.915,0_20160809_212212_784,21:22:12,21,09:22:12,9,RHFE,12,12,0.611592,,13,81.344,-0.72,26.492,82.693,77.236,81.415,108.809,81.4,1.688,4.868,25.398,8.64,1,RHFE,
Gunnislake,08/08/2016,21,W2,,20160808_231605.wac,0,1859.579,2.72,0_20160808_234704_579,23:47:04,23,11:47:04,11,RHFE,6,6,0.648669,,7,81.195,1.03,33.052,82.512,75.229,81.217,133.278,81.317,1.592,-90.591,30.885,2,1,RHFE,
Gunnislake,08/08/2016,21,W2,,20160809_221506.wac,0,1466.647,2.452,0_20160809_223932_647,22:39:32,22,10:39:32,10,RHFE,4,4,0.788409,,4,80.612,2.24,11.303,82.279,79.616,81.039,119.315,81.437,1.751,197.384,11.007,1.13,1,RHFE,
Gunnislake,08/08/2016,21,W2,,20160809_031605.wac,0,50.731,3.268,0_20160809_031655_731,03:16:55,3,15:16:55,15,RHFE,15,13,0.350658,PINA,15,76.486,-0.69,23.587,77.203,71.546,76.293,110.935,75.836,0.84,-246.599,23.344,4.44,1,RHFE,
Gunnislake,08/08/2016,20,X1,,20160811_021304.wac,0,3541.767,3.332,0_20160811_031205_767,03:12:05,3,15:12:05,15,NoID,26,0,0,PIPY,27,82.616,0.38,5.519,84.001,81.464,82.706,70.912,82.807,0.485,49.457,5.336,8.93,1,RHFE RHFE,
Gunnislake,08/08/2016,40,Z2,,20160815_000505.wac,0,2294.259,2.64,0_20160815_004319_259,00:43:19,0,12:43:19,12,RHFE,11,11,0.700461,,12,80.422,-0.45,19.475,82.161,76.197,80.368,98.25,80.509,2.694,209.475,18.825,7.2,1,RHFE,
